tijd,uitwijking,versnelling
0.001,7.3286,146.572
0.028,7.5687,151.374
0.053,7.1571,143.142
0.079,7.58585,151.717
0.106,7.13995,142.799
0.132,7.13995,142.799
0.232,7.55155,151.031
0.253,7.5687,151.374
0.274,7.13995,142.799
0.297,7.55155,151.031
0.321,7.3629,147.258
0.345,7.34575,146.915
0.37,7.13995,142.799
0.456,7.55155,151.031
0.478,7.5687,151.374
0.501,7.5687,151.374
0.525,7.13995,142.799
0.549,7.3629,147.258
0.575,7.38005,147.601
0.66,7.1571,143.142
0.681,7.1571,143.142
0.705,7.5687,151.374
0.729,7.13995,142.799
0.796,7.13995,142.799
0.857,7.5687,151.374
0.976,7.3629,147.258
1.043,7.13995,142.799
1.114,7.1571,143.142
1.184,7.13995,142.799
1.264,7.3629,147.258
1.327,7.34575,146.915
1.388,7.1571,143.142
1.45,7.603,152.06
1.512,7.13995,142.799
1.584,7.1571,143.142
1.657,7.13995,142.799
1.73,7.5687,151.374
1.81,7.13995,142.799
1.954,7.13995,142.799
2.016,7.1571,143.142
2.078,7.5687,151.374
2.142,7.13995,142.799
2.21,7.38005,147.601
2.28,7.1571,143.142
2.352,7.1571,143.142
2.43,7.5687,151.374
2.494,7.58585,151.717
2.561,7.55155,151.031
2.629,7.55155,151.031
2.698,7.58585,151.717
2.774,7.13995,142.799
2.919,7.3629,147.258
2.985,7.5687,151.374
3.054,7.3629,147.258
3.115,7.34575,146.915
3.18,7.5687,151.374
3.242,7.5687,151.374
3.311,7.55155,151.031
3.389,7.1571,143.142
3.463,7.58585,151.717
3.54,7.34575,146.915
3.62,7.5687,151.374
3.691,7.34575,146.915
3.762,7.3629,147.258
3.901,7.13995,142.799
3.973,7.13995,142.799
4.052,7.1571,143.142
4.121,7.13995,142.799
4.202,7.17425,143.485
4.267,7.13995,142.799
4.337,7.1571,143.142
4.405,7.17425,143.485
4.478,7.58585,151.717
4.555,7.1571,143.142
4.627,7.1571,143.142
4.708,7.1571,143.142
4.783,7.1571,143.142
4.928,7.1571,143.142
4.993,7.34575,146.915
5.059,7.13995,142.799
5.128,7.13995,142.799
5.218,7.13995,142.799
5.294,7.3629,147.258
5.369,7.1571,143.142
5.451,7.1571,143.142
5.519,7.3629,147.258
5.589,7.13995,142.799
5.661,7.34575,146.915
5.731,7.1571,143.142
5.812,7.13995,142.799
5.963,7.13995,142.799
6.04,7.13995,142.799
6.121,7.1571,143.142
6.19,7.13995,142.799
6.261,7.1571,143.142
6.331,7.13995,142.799
6.402,7.34575,146.915
6.481,7.13995,142.799
6.563,7.1571,143.142
6.637,7.5687,151.374
6.722,7.58585,151.717
6.796,7.38005,147.601
6.87,7.5687,151.374
7.012,7.58585,151.717
7.084,7.58585,151.717
7.169,7.3629,147.258
7.247,7.1571,143.142
7.325,7.13995,142.799
7.404,7.1571,143.142
7.475,7.1571,143.142
7.545,7.55155,151.031
7.616,7.34575,146.915
7.694,7.58585,151.717
7.771,7.55155,151.031
7.854,7.5687,151.374
7.941,7.3629,147.258
8.083,7.13995,142.799
8.152,7.13995,142.799
8.221,7.3629,147.258
8.297,7.3629,147.258
8.384,7.55155,151.031
8.464,7.5687,151.374
8.542,7.5687,151.374
8.616,7.3629,147.258
8.692,7.5687,151.374
8.765,7.55155,151.031
8.84,7.58585,151.717
8.923,7.58585,151.717
9.009,7.603,152.06
9.156,7.5687,151.374
9.232,7.5687,151.374
9.309,7.3629,147.258
9.38,7.55155,151.031
9.452,7.5687,151.374
9.528,7.58585,151.717
9.611,7.58585,151.717
9.696,7.58585,151.717
9.787,7.55155,151.031
9.872,7.58585,151.717
9.95,7.5687,151.374
10.026,7.58585,151.717
