tijd,uitwijking,versnelling
0.001,4.5846,91.692
0.025,4.6189,92.378
0.048,4.4131,88.262
0.071,4.4131,88.262
0.096,4.6189,92.378
0.121,4.60175,92.035
0.146,4.60175,92.035
0.173,4.63605,92.721
0.2,4.6189,92.378
0.228,4.6189,92.378
0.257,4.6189,92.378
0.363,4.6189,92.378
0.385,4.39595,87.919
0.407,4.6189,92.378
0.43,4.6189,92.378
0.455,4.60175,92.035
0.48,4.60175,92.035
0.57,4.6189,92.378
0.592,4.6189,92.378
0.615,4.6189,92.378
0.64,4.60175,92.035
0.665,4.6189,92.378
0.691,4.6189,92.378
0.783,4.60175,92.035
0.805,4.6189,92.378
0.8679999,4.63605,92.721
0.93,4.63605,92.721
0.989,4.6189,92.378
1.049,4.60175,92.035
1.122,4.6189,92.378
1.192,4.6189,92.378
1.268,4.6189,92.378
1.411,4.63605,92.721
1.47,4.60175,92.035
1.531,4.6189,92.378
1.591,4.60175,92.035
1.652,4.6189,92.378
1.723,4.4131,88.262
1.793,4.6189,92.378
1.864,4.6189,92.378
1.943,4.6189,92.378
2.018,4.39595,87.919
2.086,4.4131,88.262
2.152,4.60175,92.035
2.224,4.63605,92.721
2.366,4.60175,92.035
2.438,4.60175,92.035
2.508,4.60175,92.035
2.58,4.60175,92.035
2.646,4.6189,92.378
2.711,4.4131,88.262
2.779,4.6189,92.378
2.845,4.63605,92.721
2.918,4.6189,92.378
2.994,4.6189,92.378
3.066,4.60175,92.035
3.138,4.60175,92.035
3.209,4.6189,92.378
3.349,4.6189,92.378
3.414,4.4131,88.262
3.489,4.6189,92.378
3.561,4.60175,92.035
3.637,4.63605,92.721
3.717,4.60175,92.035
3.787,4.43025,88.605
3.855,4.6189,92.378
3.925,4.60175,92.035
3.999,4.4131,88.262
4.085,4.6189,92.378
4.162,4.60175,92.035
4.248,4.60175,92.035
4.391,4.4131,88.262
4.457,4.6189,92.378
4.523,4.60175,92.035
4.593,4.4131,88.262
4.664,4.60175,92.035
4.735,4.4131,88.262
4.814,4.6189,92.378
4.887,4.4131,88.262
4.961,4.6189,92.378
5.029,4.6189,92.378
5.098,4.6189,92.378
5.176,4.6189,92.378
5.271,4.6189,92.378
5.425,4.6189,92.378
5.495,4.4131,88.262
5.573,4.6189,92.378
5.639,4.6189,92.378
5.71,4.60175,92.035
5.782,4.63605,92.721
5.851,4.63605,92.721
5.927,4.6189,92.378
6.005,4.43025,88.605
6.085,4.4131,88.262
6.172,4.60175,92.035
6.246,4.6189,92.378
6.322,4.63605,92.721
6.467,4.6189,92.378
6.535,4.6189,92.378
6.612,4.60175,92.035
6.689,4.6189,92.378
6.763,4.60175,92.035
6.843,4.6189,92.378
6.923,4.6189,92.378
6.994,4.6189,92.378
7.066,4.63605,92.721
7.14,4.4131,88.262
7.23,4.39595,87.919
7.311,4.39595,87.919
7.391,4.6189,92.378
7.547,4.6189,92.378
7.619,4.4131,88.262
7.688,4.6189,92.378
7.756,4.63605,92.721
7.827,4.6189,92.378
7.902,4.6189,92.378
7.978,4.63605,92.721
8.058,4.6189,92.378
8.145,4.39595,87.919
8.219,4.6189,92.378
8.296,4.6189,92.378
8.372,4.6189,92.378
8.453,4.6189,92.378
8.617,4.6189,92.378
8.693,4.6189,92.378
8.774,4.60175,92.035
8.845,4.6189,92.378
8.921,4.6189,92.378
8.992,4.60175,92.035
9.065,4.6189,92.378
9.146,4.60175,92.035
9.232,4.6189,92.378
9.313,4.63605,92.721
9.393,4.60175,92.035
9.474,4.39595,87.919
9.55,4.6189,92.378
9.698,4.6189,92.378
9.771,4.6189,92.378
9.855,4.4131,88.262
9.939,4.43025,88.605
10.026,4.63605,92.721
