tijd,uitwijking,versnelling
0.001,4.859,97.18
0.03,4.80755,96.151
0.057,5.0305,100.61
0.085,5.04765,100.953
0.191,4.63605,92.721
0.212,4.6189,92.378
0.234,4.6189,92.378
0.258,4.8247,96.494
0.282,4.8247,96.494
0.308,5.04765,100.953
0.334,5.0305,100.61
0.362,4.8247,96.494
0.39,4.8247,96.494
0.492,4.63605,92.721
0.514,4.39595,87.919
0.538,4.6189,92.378
0.563,4.4131,88.262
0.589,4.84185,96.837
0.616,4.8247,96.494
0.71,3.98435,79.687
0.733,5.2363,104.726
0.757,5.6822,113.644
0.783,6.52255,130.451
0.809,6.93415,138.683
0.888,6.93415,138.683
1.028,6.9513,139.026
1.096,6.93415,138.683
1.163,6.93415,138.683
1.227,6.93415,138.683
1.289,6.9513,139.026
1.353,6.93415,138.683
1.418,6.9513,139.026
1.493,6.9513,139.026
1.571,6.93415,138.683
1.654,6.93415,138.683
1.727,6.72835,134.567
1.794,6.93415,138.683
1.862,6.93415,138.683
2.024,6.9513,139.026
2.092,6.9513,139.026
2.163,6.93415,138.683
2.242,6.9513,139.026
2.303,6.93415,138.683
2.367,6.72835,134.567
2.429,6.9513,139.026
2.497,6.9513,139.026
2.575,6.7455,134.91
2.654,6.7455,134.91
2.73,6.9513,139.026
2.808,6.93415,138.683
2.879,6.72835,134.567
3.021,6.9513,139.026
3.085,6.93415,138.683
3.15,6.917,138.34
3.227,6.93415,138.683
3.3,6.9513,139.026
3.374,6.93415,138.683
3.449,6.72835,134.567
3.519,6.72835,134.567
3.587,6.93415,138.683
3.672,6.93415,138.683
3.745,6.72835,134.567
3.825,6.9513,139.026
3.91,6.9513,139.026
4.06,6.9513,139.026
4.122,6.93415,138.683
4.183,6.93415,138.683
4.249,6.9513,139.026
4.323,6.93415,138.683
4.397,6.93415,138.683
4.476,6.93415,138.683
4.55,6.7455,134.91
4.62,6.93415,138.683
4.691,6.93415,138.683
4.762,6.9513,139.026
4.836,6.7112,134.224
4.915,6.93415,138.683
5.068,6.93415,138.683
5.14,6.7455,134.91
5.219,6.917,138.34
5.291,6.93415,138.683
5.362,6.9513,139.026
5.43,6.9513,139.026
5.496,6.7112,134.224
5.579,6.93415,138.683
5.661,6.93415,138.683
5.739,6.72835,134.567
5.82,6.7455,134.91
5.892,6.93415,138.683
5.967,6.7455,134.91
6.118,6.917,138.34
6.186,6.93415,138.683
6.262,6.9513,139.026
6.336,6.7455,134.91
6.413,6.917,138.34
6.488,6.93415,138.683
6.56,6.93415,138.683
6.639,6.9513,139.026
6.714,6.93415,138.683
6.79,6.9513,139.026
6.874,6.917,138.34
6.965,6.9513,139.026
7.044,6.917,138.34
7.207,6.96845,139.369
7.275,6.7112,134.224
7.347,6.93415,138.683
7.418,6.7455,134.91
7.488,6.96845,139.369
7.567,6.93415,138.683
7.65,6.7455,134.91
7.73,6.9513,139.026
7.817,6.72835,134.567
7.893,6.93415,138.683
7.968,6.9513,139.026
8.045,6.93415,138.683
8.122,6.72835,134.567
8.279,6.9513,139.026
8.36,6.93415,138.683
8.441,6.93415,138.683
8.518,6.93415,138.683
8.589,6.917,138.34
8.659,6.93415,138.683
8.734,6.9513,139.026
8.815,6.72835,134.567
8.897,6.93415,138.683
8.981,6.7455,134.91
9.074,6.9513,139.026
9.157,6.93415,138.683
9.233,6.93415,138.683
9.385,6.93415,138.683
9.454,6.93415,138.683
9.533,6.72835,134.567
9.625,6.9513,139.026
9.704,6.9513,139.026
9.789,6.93415,138.683
9.864,6.93415,138.683
9.943,6.72835,134.567
10.015,6.7112,134.224
