tijd,uitwijking,versnelling
0.001,4.4131,88.262
0.111,4.8247,96.494
0.134,4.84185,96.837
0.158,5.0305,100.61
0.183,4.4131,88.262
0.208,4.39595,87.919
0.235,4.63605,92.721
0.262,4.60175,92.035
0.291,4.4131,88.262
0.321,4.6189,92.378
0.351,4.60175,92.035
0.462,4.63605,92.721
0.485,4.6189,92.378
0.51,4.63605,92.721
0.535,5.04765,100.953
0.562,5.0305,100.61
0.59,5.0305,100.61
0.687,5.04765,100.953
0.71,6.31675,126.335
0.734,5.4421,108.842
0.759,7.1571,143.142
0.786,6.7455,134.91
0.814,6.917,138.34
0.912,6.72835,134.567
0.985,6.9513,139.026
1.051,6.7455,134.91
1.113,6.72835,134.567
1.18,6.93415,138.683
1.246,6.93415,138.683
1.336,6.93415,138.683
1.408,6.917,138.34
1.479,6.9513,139.026
1.551,6.72835,134.567
1.691,6.7455,134.91
1.77,6.93415,138.683
1.84,6.93415,138.683
1.907,6.9513,139.026
1.984,6.93415,138.683
2.049,6.93415,138.683
2.119,6.7455,134.91
2.183,6.72835,134.567
2.248,6.9513,139.026
2.323,6.9513,139.026
2.4,6.9513,139.026
2.476,6.93415,138.683
2.637,6.9513,139.026
2.7,6.7455,134.91
2.762,6.93415,138.683
2.826,6.93415,138.683
2.892,6.7455,134.91
2.968,6.93415,138.683
3.041,6.93415,138.683
3.118,6.72835,134.567
3.193,6.93415,138.683
3.264,6.917,138.34
3.335,6.9513,139.026
3.406,6.9513,139.026
3.556,6.72835,134.567
3.638,6.93415,138.683
3.717,6.9513,139.026
3.79,6.9513,139.026
3.863,6.9513,139.026
3.934,6.7112,134.224
4.001,6.93415,138.683
4.07,6.72835,134.567
4.15,6.93415,138.683
4.225,6.93415,138.683
4.316,6.93415,138.683
4.405,6.7455,134.91
4.554,6.93415,138.683
4.622,6.9513,139.026
4.693,6.9513,139.026
4.761,6.72835,134.567
4.832,6.7112,134.224
4.904,6.9513,139.026
4.971,6.9513,139.026
5.039,6.93415,138.683
