tijd,uitwijking,versnelling
0.002,4.56745,91.349
0.034,4.60175,92.035
0.065,4.6189,92.378
0.18,4.63605,92.721
0.203,4.6189,92.378
0.227,4.60175,92.035
0.252,4.60175,92.035
0.279,4.6189,92.378
0.306,4.6189,92.378
0.335,4.6189,92.378
0.365,4.60175,92.035
0.396,4.63605,92.721
0.512,4.39595,87.919
0.536,4.60175,92.035
0.562,4.6189,92.378
0.588,4.0015,80.03
0.615,5.2363,104.726
0.644,5.25345,105.069
0.749,6.72835,134.567
0.774,6.52255,130.451
0.799,6.72835,134.567
0.826,6.5054,130.108
0.855,6.72835,134.567
0.958,6.72835,134.567
1.03,6.5397,130.794
1.096,6.52255,130.451
1.172,6.72835,134.567
1.236,6.5054,130.108
1.302,6.7455,134.91
1.371,6.5054,130.108
1.437,6.52255,130.451
1.513,6.5054,130.108
1.595,6.5054,130.108
1.753,6.52255,130.451
1.83,6.52255,130.451
1.893,6.52255,130.451
1.957,6.72835,134.567
2.025,6.52255,130.451
2.093,6.52255,130.451
2.166,3.77855,75.571
2.243,4.80755,96.151
2.324,4.63605,92.721
2.399,4.6189,92.378
2.47,4.6189,92.378
2.54,5.04765,100.953
2.703,4.6189,92.378
2.774,4.6189,92.378
2.844,4.4131,88.262
2.917,6.72835,134.567
3.0,7.99745,159.949
3.076,6.72835,134.567
3.143,6.72835,134.567
3.213,6.52255,130.451
3.284,6.7455,134.91
3.364,7.9803,159.606
3.458,6.5054,130.108
3.538,6.52255,130.451
3.709,6.5054,130.108
3.771,7.9803,159.606
3.84,7.99745,159.949
3.905,6.5054,130.108
3.976,6.7455,134.91
4.06,6.5054,130.108
4.134,6.72835,134.567
4.215,7.7745,155.49
4.286,7.7745,155.49
4.356,6.52255,130.451
4.431,6.52255,130.451
4.503,6.5054,130.108
4.671,6.52255,130.451
4.746,7.9803,159.606
4.823,6.52255,130.451
4.9,6.72835,134.567
4.971,6.52255,130.451
5.041,6.52255,130.451
