tijd,uitwijking,versnelling
0.002,-0.07305002,-1.461
0.031,0.3899999,7.799997
0.05900001,0.5272002,10.544
0.088,0.47575,9.514999
0.117,0.2871003,5.742006
0.147,0.3042502,6.085005
0.273,0.3557,7.114
0.295,0.3214002,6.428003
0.318,0.09845018,1.969004
0.344,0.1842003,3.684006
0.368,0.3214002,6.428003
0.394,0.4586,9.172001
0.422,0.3385501,6.771002
0.518,0.3557,7.114
0.54,0.3214002,6.428003
0.565,0.3557,7.114
0.591,-0.1073499,-2.146997
0.619,0.3214002,6.428003
0.647,0.4071503,8.143004
0.759,0.3557,7.114
0.783,0.2013502,4.027004
0.853,0.2699499,5.398998
0.942,0.3728499,7.456999
1.013,0.1499,2.997999
1.084,0.2871003,5.742006
1.161,0.3042502,6.085005
1.225,0.3728499,7.456999
1.296,0.2699499,5.398998
1.437,0.06415033,1.283007
1.496,0.06415033,1.283007
1.566,0.2013502,4.027004
1.637,0.3728499,7.456999
1.714,0.3557,7.114
1.795,0.4071503,8.143004
1.859,-0.02159977,-0.4319954
1.926,0.3557,7.114
1.996,-0.1244998,-2.489996
2.064,0.2871003,5.742006
2.14,0.2013502,4.027004
2.217,0.3214002,6.428003
2.378,0.2871003,5.742006
2.453,0.2871003,5.742006
2.518,0.1156001,2.312002
2.584,0.3557,7.114
2.65,0.3728499,7.456999
2.718,0.2871003,5.742006
2.804,0.2356501,4.713001
2.879,0.4414501,8.829002
2.952,0.4928999,9.857998
3.03,0.3042502,6.085005
3.103,-0.09019995,-1.803999
3.174,0.4414501,8.829002
3.318,0.4928999,9.857998
3.383,0.5272002,10.544
3.453,0.2871003,5.742006
3.522,0.4071503,8.143004
3.6,0.5100503,10.20101
3.677,0.2871003,5.742006
3.748,-0.02159977,-0.4319954
3.817,-0.03874969,-0.7749939
3.894,0.2699499,5.398998
3.963,0.3214002,6.428003
4.041,0.3557,7.114
4.13,0.1842003,3.684006
4.301,-0.2273998,-4.547997
4.375,0.09845018,1.969004
4.443,-0.09019995,-1.803999
4.516,0.3899999,7.799997
4.583,0.3214002,6.428003
4.661,0.2871003,5.742006
4.74,0.4414501,8.829002
4.815,0.4414501,8.829002
4.892,0.1156001,2.312002
4.969,0.13275,2.655001
5.041,0.1842003,3.684006
5.114,0.2699499,5.398998
5.267,0.3042502,6.085005
5.343,0.3728499,7.456999
5.424,0.1499,2.997999
5.51,0.3214002,6.428003
5.59,0.2528,5.056
5.664,0.2699499,5.398998
5.736,0.2699499,5.398998
5.814,0.3557,7.114
5.89,0.13275,2.655001
5.977,0.2185001,4.370002
6.064,0.3042502,6.085005
6.156,0.2871003,5.742006
6.324,0.4928999,9.857998
6.394,0.3385501,6.771002
6.46,-0.03874969,-0.7749939
6.533,0.3557,7.114
6.613,0.3899999,7.799997
6.698,0.2528,5.056
6.777,0.3728499,7.456999
6.857,0.2013502,4.027004
6.933,0.4928999,9.857998
7.01,0.47575,9.514999
7.091,0.3728499,7.456999
7.168,0.3214002,6.428003
7.334,0.5100503,10.20101
7.412,0.4928999,9.857998
7.489,0.3385501,6.771002
7.568,0.1499,2.997999
7.647,0.2185001,4.370002
7.721,0.13275,2.655001
7.796,0.4071503,8.143004
7.888,0.3728499,7.456999
7.969,0.3042502,6.085005
8.056,0.3557,7.114
8.147,0.3557,7.114
8.225,0.4928999,9.857998
8.394,0.1842003,3.684006
8.462,-0.07305002,-1.461
8.534,-0.03874969,-0.7749939
8.618,0.4243002,8.486004
8.698,0.2871003,5.742006
8.785,0.3557,7.114
8.868,0.2699499,5.398998
8.944,0.2528,5.056
9.021,0.3214002,6.428003
9.098,-0.02159977,-0.4319954
9.176,-0.09019995,-1.803999
9.263,0.3042502,6.085005
9.426,0.3214002,6.428003
9.505,0.4586,9.172001
9.592,0.4243002,8.486004
9.67,0.4071503,8.143004
9.749,0.2699499,5.398998
9.824,0.5443501,10.887
9.897,0.2699499,5.398998
9.991,0.3042502,6.085005
10.081,0.3385501,6.771002
