tijd,uitwijking,versnelling
0.002,0.01270008,0.2540016
0.026,0.1156001,2.312002
0.049,-0.1416497,-2.832994
0.073,0.08130026,1.626005
0.09700001,0.08130026,1.626005
0.123,0.02985001,0.5970001
0.148,0.09845018,1.969004
0.175,-0.09019995,-1.803999
0.204,-0.1073499,-2.146997
0.303,0.08130026,1.626005
0.325,-1.17065,-23.413
0.348,-0.1416497,-2.832994
0.372,0.04699993,0.9399986
0.398,-0.1416497,-2.832994
0.424,-0.1073499,-2.146997
0.528,0.01270008,0.2540016
0.55,-0.1244998,-2.489996
0.574,0.1156001,2.312002
0.598,-1.17065,-23.413
0.668,0.13275,2.655001
0.739,0.08130026,1.626005
0.866,-0.8104997,-16.20999
0.942,-0.6389999,-12.78
1.001,-0.4846497,-9.692993
1.064,-0.5875497,-11.75099
1.125,-1.03345,-20.66899
1.193,-0.62185,-12.437
1.264,-1.99385,-39.87699
1.329,-1.2907,-25.814
1.406,-1.34215,-26.84299
1.472,-0.7761998,-15.524
1.542,-1.4622,-29.24399
1.61,-1.54795,-30.959
1.675,-1.23925,-24.78499
1.832,-1.5651,-31.30199
1.914,-1.8052,-36.104
1.979,-2.6627,-53.254
2.046,-2.2511,-45.022
2.121,-2.40545,-48.109
2.183,-2.2511,-45.022
2.248,-2.2511,-45.022
2.316,-2.40545,-48.109
2.38,-2.4226,-48.452
2.455,-2.37115,-47.423
2.53,-2.37115,-47.423
2.609,-2.43975,-48.79499
2.692,-2.23395,-44.67899
2.834,-2.4226,-48.452
2.899,-2.3883,-47.766
2.961,-2.43975,-48.79499
3.027,-2.0796,-41.592
3.1,-2.5941,-51.882
3.174,-2.8685,-57.37
3.244,-2.02815,-40.563
3.322,-2.1482,-42.964
3.389,-2.81705,-56.341
3.459,-2.30255,-46.05099
3.529,-2.5941,-51.882
3.601,-3.29725,-65.945
3.686,-2.9714,-59.42799
3.85,-1.68515,-33.70299
3.92,-0.9648499,-19.297
3.992,-1.7366,-34.732
4.061,-1.7366,-34.732
4.125,-1.82235,-36.447
4.192,-1.5651,-31.30199
4.258,-0.9133997,-18.26799
4.331,-1.0163,-20.32599
4.404,-1.1535,-23.07
4.48,-1.1535,-23.07
4.561,-1.30785,-26.157
4.633,-1.2907,-25.814
4.704,-2.19965,-43.993
4.847,-1.4279,-28.558
4.911,-1.8395,-36.79
4.986,-0.2273998,-4.547997
5.072,-0.3131499,-6.262999
5.151,0.3899999,7.799997
5.227,-0.2445498,-4.890995
5.296,-0.3474498,-6.948996
5.37,-0.3645997,-7.291994
5.44,-0.3302999,-6.605997
5.515,-0.2788501,-5.577002
5.595,-0.03874969,-0.7749939
5.684,-0.2102499,-4.204998
5.763,-0.3302999,-6.605997
5.931,-0.3645997,-7.291994
6.002,-0.1931,-3.862
6.069,-0.296,-5.92
6.139,-0.2102499,-4.204998
6.211,-0.4331999,-8.663998
6.287,0.8873501,17.747
6.37,-0.0559001,-1.118002
6.459,-0.1416497,-2.832994
6.539,-0.1931,-3.862
6.617,0.01270008,0.2540016
6.693,1.470449,29.40899
6.774,1.2132,24.26399
6.849,1.3161,26.322
7.007,1.23035,24.60699
7.085,0.68155,13.631
7.166,1.36755,27.351
7.252,1.419,28.37999
7.322,1.43615,28.72299
7.4,0.4928999,9.857998
7.47,1.4533,29.06599
7.543,-0.2445498,-4.890995
7.626,0.02985001,0.5970001
7.712,0.06415033,1.283007
7.795,-0.1587996,-3.175993
7.879,-0.3474498,-6.948996
7.955,-0.3302999,-6.605997
8.117,0.2699499,5.398998
8.185,-0.4503498,-9.006995
8.259,-0.5018001,-10.036
8.345,-1.23925,-24.78499
8.426,-1.0506,-21.012
8.506,-0.7590499,-15.181
8.585,-1.1192,-22.384
8.664,-1.65085,-33.01699
8.74,-1.78805,-35.76099
8.816,-2.0796,-41.592
8.908,-1.89095,-37.81899
8.99,-2.6284,-52.568
9.075,-2.67985,-53.597
9.237,-2.4226,-48.452
9.309,-2.7999,-55.998
9.38,-2.4569,-49.13799
9.451,-2.2511,-45.022
9.524,-2.2168,-44.33599
9.608,-2.26825,-45.365
9.689,-2.2168,-44.33599
9.776,-2.2511,-45.022
9.86,-2.30255,-46.05099
9.938,-2.26825,-45.365
10.017,-2.2854,-45.708
