# tijd (s), versnelling (m/s^2)
0.000000000000000000e+00,8.604728585088991001e-04
5.002084201750729361e-03,8.778190160653528843e-04
1.000416840350145872e-02,8.955139504330892350e-04
1.500625260525218808e-02,9.135646376885608747e-04
2.000833680700291745e-02,9.319781919450826312e-04
2.501042100875364854e-02,9.507618680231624082e-04
3.001250521050437617e-02,9.699230641701294189e-04
3.501458941225510380e-02,9.894693248296043860e-04
4.001667361400583489e-02,1.009408343461890055e-03
4.501875781575656599e-02,1.029747965415709742e-03
5.002084201750729708e-02,1.050496190852663906e-03
5.502292621925802124e-02,1.071661177724791926e-03
6.002501042100875234e-02,1.093251244806107188e-03
6.502709462275947649e-02,1.115274874779402211e-03
7.002917882451020759e-02,1.137740717378532595e-03
7.503126302626093869e-02,1.160657592587613579e-03
8.003334722801166978e-02,1.184034493897589101e-03
8.503543142976240088e-02,1.207880591621411735e-03
9.003751563151313198e-02,1.232205236268298434e-03
9.503959983326386307e-02,1.257017961978524646e-03
1.000416840350145942e-01,1.282328490018938517e-03
1.050437682367653114e-01,1.308146732340831472e-03
1.100458524385160425e-01,1.334482795200494327e-03
1.150479366402667736e-01,1.361346982843795322e-03
1.200500208420175047e-01,1.388749801255354487e-03
1.250521050437682358e-01,1.416701961973516714e-03
1.300541892455189530e-01,1.445214385971893773e-03
1.350562734472696980e-01,1.474298207608401579e-03
1.400583576490204152e-01,1.503964778642975179e-03
1.450604418507711602e-01,1.534225672324400535e-03
1.500625260525218774e-01,1.565092687547696426e-03
1.550646102542726223e-01,1.596577853082779830e-03
1.600666944560233396e-01,1.628693431875320946e-03
1.650687786577740568e-01,1.661451925420736556e-03
1.700708628595248018e-01,1.694866078212306374e-03
1.750729470612755190e-01,1.728948882264376256e-03
1.800750312630262640e-01,1.763713581711560952e-03
1.850771154647769812e-01,1.799173677484693394e-03
1.900791996665277261e-01,1.835342932064724887e-03
1.950812838682784434e-01,1.872235374315419677e-03
2.000833680700291883e-01,1.909865304395545835e-03
2.050854522717799056e-01,1.948247298751793009e-03
2.100875364735306228e-01,1.987396215193058466e-03
2.150896206752813677e-01,2.027327198047065068e-03
2.200917048770320850e-01,2.068055683400279142e-03
2.250937890787828299e-01,2.109597404421860965e-03
2.300958732805335472e-01,2.151968396772591541e-03
2.350979574822842921e-01,2.195185004099479975e-03
2.401000416840350093e-01,2.239263883617024619e-03
2.451021258857857266e-01,2.284222011775912525e-03
2.501042100875364715e-01,2.330076690019785169e-03
2.551062942892872165e-01,2.376845550630924363e-03
2.601083784910379060e-01,2.424546562665770826e-03
2.651104626927886510e-01,2.473198037980555569e-03
2.701125468945393959e-01,2.522818637348151708e-03
2.751146310962901409e-01,2.573427376666688384e-03
2.801167152980408304e-01,2.625043633260288906e-03
2.851187994997915753e-01,2.677687152272940994e-03
2.901208837015423203e-01,2.731378053155675625e-03
2.951229679032930098e-01,2.786136836247914052e-03
3.001250521050437547e-01,2.841984389453112211e-03
3.051271363067944997e-01,2.898941995009425045e-03
3.101292205085452447e-01,2.957031336355610187e-03
3.151313047102959342e-01,3.016274505092574748e-03
3.201333889120466791e-01,3.076694008040833234e-03
3.251354731137974241e-01,3.138312774394170189e-03
3.301375573155481136e-01,3.201154162969507139e-03
3.351396415172988585e-01,3.265241969553354592e-03
3.401417257190496035e-01,3.330600434344607556e-03
3.451438099208003485e-01,3.397254249494004175e-03
3.501458941225510380e-01,3.465228566739750066e-03
3.551479783243017829e-01,3.534549005139577243e-03
3.601500625260525279e-01,3.605241658898599658e-03
3.651521467278032174e-01,3.677333105292930702e-03
3.701542309295539623e-01,3.750850412688571268e-03
3.751563151313047073e-01,3.825821148654844159e-03
3.801583993330554523e-01,3.902273388172174031e-03
3.851604835348061417e-01,3.980235721933156855e-03
3.901625677365568867e-01,4.059737264736329107e-03
3.951646519383076317e-01,4.140807663971513009e-03
4.001667361400583767e-01,4.223477108195950250e-03
4.051688203418090661e-01,4.307776335799834259e-03
4.101709045435598111e-01,4.393736643760080482e-03
4.151729887453105561e-01,4.481389896480878800e-03
4.201750729470612455e-01,4.570768534719520625e-03
4.251771571488119905e-01,4.661905584595643637e-03
4.301792413505627355e-01,4.754834666682202816e-03
4.351813255523134805e-01,4.849590005176077426e-03
4.401834097540641699e-01,4.946206437146155079e-03
4.451854939558149149e-01,5.044719421856531938e-03
4.501875781575656599e-01,5.145165050162242570e-03
4.551896623593163493e-01,5.247580053974869665e-03
4.601917465610670943e-01,5.352001815795124490e-03
4.651938307628178393e-01,5.458468378309256491e-03
4.701959149645685843e-01,5.567018454045945773e-03
4.751979991663192737e-01,5.677691435090142201e-03
4.802000833680700187e-01,5.790527402850112818e-03
4.852021675698207637e-01,5.905567137873684279e-03
4.902042517715714531e-01,6.022852129709290597e-03
4.952063359733221981e-01,6.142424586807733108e-03
5.002084201750729431e-01,6.264327446459188285e-03
5.052105043768236881e-01,6.388604384761116181e-03
5.102125885785744330e-01,6.515299826611436855e-03
5.152146727803251780e-01,6.644458955721107944e-03
5.202167569820758120e-01,6.776127724640832427e-03
5.252188411838265569e-01,6.910352864794909108e-03
5.302209253855773019e-01,7.047181896516246241e-03
5.352230095873280469e-01,7.186663139075359120e-03
5.402250937890787919e-01,7.328845720696169908e-03
5.452271779908295368e-01,7.473779588550979493e-03
5.502292621925802818e-01,7.621515518726660297e-03
5.552313463943309158e-01,7.772105126153894261e-03
5.602334305960816607e-01,7.925600874490273257e-03
5.652355147978324057e-01,8.082056085948568364e-03
5.702375989995831507e-01,8.241524951060341664e-03
5.752396832013338956e-01,8.404062538364939772e-03
5.802417674030846406e-01,8.569724804013542294e-03
5.852438516048353856e-01,8.738568601277174261e-03
5.902459358065860195e-01,8.910651689947406834e-03
5.952480200083367645e-01,9.086032745617957096e-03
6.002501042100875095e-01,9.264771368834762849e-03
6.052521884118382545e-01,9.446928094101685047e-03
6.102542726135889994e-01,9.632564398728444069e-03
6.152563568153397444e-01,9.821742711506958878e-03
6.202584410170904894e-01,1.001452642120155036e-02
6.252605252188411233e-01,1.021097988483803988e-02
6.302626094205918683e-01,1.041116843577608551e-02
6.352646936223426133e-01,1.061515839154874782e-02
6.402667778240933583e-01,1.082301706145219304e-02
6.452688620258441032e-01,1.103481275386850903e-02
6.502709462275948482e-01,1.125061478330335527e-02
6.552730304293455932e-01,1.147049347711989221e-02
6.602751146310962271e-01,1.169452018194971042e-02
6.652771988328469721e-01,1.192276726976083771e-02
6.702792830345977171e-01,1.215530814356186214e-02
6.752813672363484621e-01,1.239221724272149792e-02
6.802834514380992070e-01,1.263357004788092687e-02
6.852855356398499520e-01,1.287944308543655624e-02
6.902876198416006970e-01,1.312991393156979700e-02
6.952897040433513309e-01,1.338506121579953814e-02
7.002917882451020759e-01,1.364496462403250177e-02
7.052938724468528209e-01,1.390970490108605837e-02
7.102959566486035659e-01,1.417936385265686217e-02
7.152980408503543108e-01,1.445402434670842000e-02
7.203001250521050558e-01,1.473377031424973581e-02
7.253022092538558008e-01,1.501868674947629857e-02
7.303042934556064347e-01,1.530885970924431190e-02
7.353063776573571797e-01,1.560437631184767929e-02
7.403084618591079247e-01,1.590532473506742206e-02
7.453105460608586696e-01,1.621179421346133701e-02
7.503126302626094146e-01,1.652387503486191928e-02
7.553147144643601596e-01,1.684165853604942600e-02
7.603167986661109046e-01,1.716523709756603497e-02
7.653188828678615385e-01,1.749470413763668658e-02
7.703209670696122835e-01,1.783015410516138738e-02
7.753230512713630285e-01,1.817168247174281992e-02
7.803251354731137734e-01,1.851938572271277783e-02
7.853272196748645184e-01,1.887336134711994559e-02
7.903293038766152634e-01,1.923370782664126505e-02
7.953313880783660084e-01,1.960052462337794760e-02
8.003334722801167533e-01,1.997391216649741993e-02
8.053355564818673873e-01,2.035397183768098209e-02
8.103376406836181323e-01,2.074080595533719235e-02
8.153397248853688772e-01,2.113451775754006390e-02
8.203418090871196222e-01,2.153521138365098800e-02
8.253438932888703672e-01,2.194299185458237905e-02
8.303459774906211122e-01,2.235796505166150541e-02
8.353480616923718571e-01,2.278023769405173107e-02
8.403501458941224911e-01,2.320991731468870917e-02
8.453522300958732361e-01,2.364711223468886347e-02
8.503543142976239810e-01,2.409193153618691477e-02
8.553563984993747260e-01,2.454448503355951411e-02
8.603584827011254710e-01,2.500488324299207643e-02
8.653605669028762160e-01,2.547323735034557821e-02
8.703626511046269609e-01,2.594965917728065535e-02
